,Date,Team,Score,Opponent,Opponent Score,Location,Spread,OU,Win Percent
0,2023-11-19,Yale,72.6276924582402,Weber St.,66.65636388413564,1,5.971328574104561,139.28405634237583,0.007
0,2023-11-19,George Mason,67.53318634279768,Charlotte,66.48445472310468,1,1.048731619693001,134.01764106590235,0.35
0,2023-11-19,East Carolina,72.79285411891782,Northeastern,63.414782769672954,0,9.378071349244863,136.20763688859077,0.002
0,2023-11-19,Cincinnati,76.84020632780273,Northern Kentucky,60.50331580350004,0,16.336890524302696,137.34352213130276,0.0
0,2023-11-19,Kennesaw St.,69.17212240500191,Georgia Southern,67.88030035826587,1,1.2918220467360442,137.05242276326777,0.337
0,2023-11-19,Michigan St.,82.27478872096981,Alcorn St.,58.18437707327421,0,24.090411647695596,140.45916579424403,0.0
0,2023-11-19,Lindenwood,65.54630122638945,William & Mary,69.98884046797606,1,-4.442539241586616,135.5351416943655,0.915
0,2023-11-19,Prairie View A&M,68.7345683255633,Tennessee Martin,74.16256756114433,1,-5.4279992355810265,142.89713588670764,0.964
0,2023-11-19,Holy Cross,68.54490989790327,IUPUI,69.87211627933831,1,-1.3272063814350474,138.41702617724158,0.69
0,2023-11-19,Clemson,73.60660745426995,Boise St.,67.74913257869945,0,5.857474875570503,141.35574003296938,0.025
0,2023-11-19,Cal Baptist,71.91994639550185,Cal Poly,58.25355739288076,0,13.666389002621095,130.17350378838262,0.0
0,2023-11-19,Elon,65.79217995035356,Winthrop,76.51131823974875,1,-10.71913828939519,142.3034981901023,1.0
0,2023-11-20,SMU,70.20201199495243,West Virginia,73.21712412769274,1,-3.015112132740313,143.41913612264517,0.856
0,2023-11-20,Purdue,74.4754538715545,Gonzaga,74.67021368961089,1,-0.19475981805638298,149.1456675611654,0.532
0,2023-11-20,Troy,68.64831296731677,Sam Houston St.,69.67519781493881,0,-1.0268848476220427,138.3235107822556,0.632
0,2023-11-20,Kentucky,81.18519494624398,Saint Joseph's,65.83007076728742,0,15.355124178956558,147.0152657135314,0.0
0,2023-11-20,Tulsa,77.11849984272176,South Carolina St.,67.76678929940445,0,9.35171054331731,144.88528914212623,0.0
0,2023-11-20,Pacific,75.56000719677934,North Dakota,68.06927403424366,0,7.490733162535676,143.62928123102301,0.013
0,2023-11-20,Oklahoma St.,82.05639492760953,New Orleans,63.67360833257508,0,18.382786595034453,145.73000326018462,0.0
0,2023-11-20,Austin Peay,69.8555029551556,Tarleton St.,68.36638646624735,1,1.4891164889082518,138.22188942140295,0.338
0,2023-11-20,NJIT,68.61277313792374,Delaware St.,66.03858850421014,0,2.5741846337135996,134.65136164213388,0.19
0,2023-11-20,Texas A&M Commerce,71.91912747527785,Stonehill,64.0933040600755,0,7.8258234152023505,136.01243153535336,0.009
0,2023-11-20,Marquette,70.51999790563627,UCLA,67.90708735327017,1,2.6129105523661025,138.42708525890646,0.177
0,2023-11-20,East Carolina,74.36168127811695,Georgia Southern,64.41065943445862,0,9.951021843658324,138.77234071257556,0.0
0,2023-11-20,Milwaukee,74.34662603436253,Stetson,73.78592234160793,1,0.5607036927546005,148.13254837597046,0.433
0,2023-11-20,Tulane,73.4328303919767,Bradley,71.25475426830036,1,2.178076123676334,144.68758466027705,0.218
0,2023-11-20,Bethune Cookman,68.29616680540867,Charleston Southern,68.76942979037625,0,-0.473262984967576,137.06559659578494,0.555
0,2023-11-20,Santa Clara,81.74923477199799,Mississippi Valley St.,58.34800406608274,0,23.401230705915253,140.09723883808073,0.0
0,2023-11-20,Syracuse,62.45363352667756,Tennessee,75.35720235429969,1,-12.90356882762213,137.81083588097724,1.0
0,2023-11-20,Bryant,74.75083126028655,Howard,71.47745185578775,0,3.2733794044987974,146.2282831160743,0.123
0,2023-11-20,Virginia,62.35148177277554,Wisconsin,65.04511317213134,1,-2.6936313993557945,127.39659494490688,0.847
0,2023-11-20,Bellarmine,68.53737189037092,Morehead St.,67.46675183220852,0,1.0706200581624046,136.00412372257944,0.354
